Seemingly Conflicting Statements	missing term (or claim it is incorrect)
Germany launched the World War in [1940]	incorrect statement
Germany launched the World War in [1914]	I
The area code of the city Durango in United States is [970]	Colorado
The area code of the city Durango in United States is [81301]	incorrect statement
The area code of the city Durango in United States is [526]	incorrect statement
The area code of the city Durango in United States is [81302]	incorrect statement
The area code of the city Durango in United States is [563]	Iowa
The area code of the city Durango in United States is [254]	Texas
The song Somebody That I Used to Know was released in [2011]	Gotye
The song Somebody That I Used to Know was released in [2013]	incorrect statement
The song Somebody That I Used to Know was released in [2012]	incorrect statement
The song Somebody That I Used to Know was released in [2000]	Elliott Smith
Northeastern University was established in [1898]	Boston
Northeastern University was established in [1851]	incorrect statement
Northeastern University was established in [2009]	incorrect statement
Northeastern University was established in [2010]	incorrect statement
Northeastern University was established in [1867]	incorrect statement
Northeastern University was established in [1923]	Shenyang
Bampaku-kinen-k身en Station opened in [2005]	Ibaraki
Bampaku-kinen-k身en Station opened in [2007]	incorrect statement
Bampaku-kinen-k身en Station opened in [1998]	incorrect statement
Bampaku-kinen-k身en Station opened in [1927]	incorrect statement
Bampaku-kinen-k身en Station opened in [1990]	Osaka
The class and type of USS Russell is [Sims-class destroyer]	DD-414
The class and type of USS Russell is [Arleigh Burke class destroyer]	DDG-59
George IV was died in [1811]	incorrect statement
George IV was died in [1762]	incorrect statement
George IV was died in [1830]	United Kingdom
George IV was died in [1820]	incorrect statement
George IV was died in [1223]	Georgia
The album Over The Rainbow was released by [Nelson]	incorrect statement
The album Over The Rainbow was released by [Records]	incorrect statement
The album Over The Rainbow was released by [Susan]	incorrect statement
The album Over The Rainbow was released by [John]	incorrect statement
The album Over The Rainbow was released by [Universal Sigma]	Rainbow
The album Over The Rainbow was released by [Linfair Records]	Angela Chang
Smile was a [Japanese] TV series	2009
Smile was a [American] TV series	incorrect statement
Smile was a [Seattle] TV series	incorrect statement
Smile was a [US] TV series	incorrect statement
Smile was a [Boston] TV series	incorrect statement
Smile was a [British] TV series	2002
The architectural style of Cabot Tower is [Gothic Revival]	St. John
The architectural style of Cabot Tower is [Neo-Gothic]	Bristol
The architectural style of Cabot Tower is [Byzantine]	incorrect statement
The architectural style of Cabot Tower is [Medieval Revival]	incorrect statement
The album of Secret was released by [Andrew Mason]	Ayumi Hamasaki
The album of Secret was released by [Joe]	incorrect statement
The album of Secret was released by [Rhythm Zone]	Kumi Koda
The album of Secret was released by [james taylor]	incorrect statement
The album of Secret was released by [avex trax]	incorrect statement
